Price,Year
486000,06/08/2016
660000,06/08/2016
393000,06/08/2016
,06/08/2016
1064000,06/08/2016
585000,06/08/2016
660000,06/08/2016
810000,06/08/2016
,06/08/2016
1008000,06/08/2016
357000,06/08/2016
910000,06/08/2016
991000,06/08/2016
427000,06/08/2016
512500,06/08/2016
500000,06/08/2016
415000,06/08/2016
370000,06/08/2016
2538000,06/08/2016
1680000,06/08/2016
670000,06/08/2016
852500,06/08/2016
1025000,06/08/2016
504000,06/08/2016
600500,06/08/2016
546000,06/08/2016
760000,06/08/2016
1680000,06/08/2016
2520000,06/08/2016
,06/08/2016
525000,06/08/2016
462000,06/08/2016
2000000,06/08/2016
1700000,06/08/2016
,06/08/2016
,06/08/2016
,06/08/2016
858000,06/08/2016
1220000,06/08/2016
705000,06/08/2016
565000,06/08/2016
1587500,06/08/2016
405000,06/08/2016
452000,06/08/2016
365000,06/08/2016
455000,06/08/2016
1316000,06/08/2016
581000,06/08/2016
1605000,06/08/2016
3350000,06/08/2016
398000,06/08/2016
500000,06/08/2016
390000,06/08/2016
511000,06/08/2016
750000,06/08/2016
831000,06/08/2016
2130000,06/08/2016
,06/08/2016
599000,06/08/2016
820000,06/08/2016
437000,06/08/2016
817000,06/08/2016
405000,06/08/2016
423000,06/08/2016
,06/08/2016
,06/08/2016
1837000,06/08/2016
1105000,06/08/2016
,06/08/2016
1197000,06/08/2016
1688000,06/08/2016
,06/08/2016
675000,06/08/2016
1860000,06/08/2016
965000,06/08/2016
745000,06/08/2016
642000,06/08/2016
735000,06/08/2016
910000,06/08/2016
1005000,06/08/2016
762000,06/08/2016
1050000,06/08/2016
980000,06/08/2016
1550000,06/08/2016
830000,06/08/2016
750000,06/08/2016
,06/08/2016
655000,06/08/2016
740000,06/08/2016
1420000,06/08/2016
655800,06/08/2016
1082000,06/08/2016
,06/08/2016
,06/08/2016
840000,06/08/2016
928000,06/08/2016
476000,06/08/2016
1115000,06/08/2016
952000,06/08/2016
610000,06/08/2016
1256000,06/08/2016
1918000,06/08/2016
900000,06/08/2016
647000,06/08/2016
601000,06/08/2016
555000,06/08/2016
585000,06/08/2016
480000,06/08/2016
795000,06/08/2016
1502000,06/08/2016
,06/08/2016
1430000,06/08/2016
,06/08/2016
840000,06/08/2016
496000,06/08/2016
462500,06/08/2016
931000,06/08/2016
942000,06/08/2016
